         88098901 function calls (85082861 primitive calls) in 93.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44388   36.499    0.001   36.499    0.001 {method 'tick' of 'pygame.time.Clock' objects}
     1152    7.031    0.006    7.033    0.006 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Meshes\chunk_mesh_builder.py:250(build_chunk_mesh)
     1152    4.260    0.004    4.817    0.004 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\chunk.py:56(build_voxels)
    69589    4.013    0.000    4.938    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:195(__call__)
    44388    3.033    0.000    3.033    0.000 {built-in method pygame.display.flip}
  2936723    2.568    0.000    6.685    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\chunk.py:40(set_uniform)
  3073960    2.468    0.000   12.154    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\chunk.py:47(render)
1961847/627639    2.292    0.000   16.011    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_gen\world.py:260(svo_frustum_render)
  6170017    1.997    0.000    3.800    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\_moderngl.py:94(write)
  6170017    1.804    0.000    1.804    0.000 {method '_write_uniform' of 'mgl.Context' objects}
   422399    1.254    0.000    1.254    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\voxel_handler.py:150(get_voxel_id)
   983338    1.127    0.000    1.394    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\frustum.py:28(is_on_frustum)
  3102094    1.009    0.000    1.971    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:1360(render)
  3102094    0.962    0.000    0.962    0.000 {method 'render' of 'mgl.VertexArray' objects}
1188568/185978    0.868    0.000    1.175    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:321(_rec_list_vars)
  2980323    0.837    0.000    2.718    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Meshes\base_mesh.py:39(render)
  6169404    0.707    0.000    0.707    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:411(__getitem__)
    44388    0.600    0.000    0.600    0.000 {built-in method pygame.event.get}
    42193    0.591    0.000    1.918    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\voxel_handler.py:92(ray_cast)
  6864273    0.521    0.000    0.699    0.000 {built-in method builtins.isinstance}
    42193    0.416    0.000    1.559    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\world_objects\celestial_body.py:26(update)
