         9884692 function calls (9347579 primitive calls) in 7.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      336    2.005    0.006    2.005    0.006 {method 'tick' of 'pygame.time.Clock' objects}
    14039    1.042    0.000    1.223    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\binding\ffi.py:188(__call__)
      300    0.924    0.003    0.992    0.003 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\engine\world_gen\chunk.py:43(build_voxels)
291496/45039    0.208    0.000    0.281    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:317(_rec_list_vars)
  1821073    0.135    0.000    0.180    0.000 {built-in method builtins.isinstance}
        1    0.126    0.126    0.126    0.126 {built-in method pygame.base.quit}
      300    0.085    0.000    0.085    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\meshes\chunk_mesh_builder.py:100(build_chunk_mesh)
160755/81489    0.060    0.000    0.231    0.000 {method 'format' of 'str' objects}
    27807    0.057    0.000    0.061    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:102(_safe_tuple)
      336    0.054    0.000    0.054    0.000 {built-in method pygame.display.flip}
    33041    0.046    0.000    0.096    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:16(register)
59221/31316    0.040    0.000    0.143    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:551(_safe_repr)
     2330    0.036    0.000    0.103    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:357(ufunc_find_matching_loop)
    63188    0.034    0.000    0.087    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:243(notify)
   307200    0.033    0.000    0.033    0.000 {built-in method glm.simplex}
      220    0.032    0.000    0.215    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
    24362    0.031    0.000    0.184    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:544(_to_string)
84002/35891    0.031    0.000    0.212    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
196011/195405    0.030    0.000    0.049    0.000 {built-in method builtins.getattr}
    32118    0.029    0.000    0.046    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:24(deduplicate)
   307878    0.029    0.000    0.030    0.000 {built-in method builtins.min}
63811/63676    0.028    0.000    0.058    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
    13741    0.028    0.000    0.111    0.000 {built-in method builtins.sorted}
    97215    0.028    0.000    0.039    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:1275(find_insts)
    24634    0.026    0.000    0.029    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\np\numpy_support.py:339(ufunc_can_cast)
    23624    0.025    0.000    0.133    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
      336    0.025    0.000    0.025    0.000 {built-in method pygame.event.get}
    31776    0.025    0.000    0.115    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:209(broadcast)
1605/1590    0.024    0.000    0.750    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\functions.py:281(get_call_type)
     9912    0.023    0.000    0.073    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\context.py:542(_rate_arguments)
       15    0.023    0.002    0.023    0.002 {method 'convert_alpha' of 'pygame.surface.Surface' objects}
   122231    0.023    0.000    0.044    0.000 <frozen abc>:117(__instancecheck__)
50828/38237    0.022    0.000    0.038    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\abstract.py:121(__hash__)
57895/56794    0.021    0.000    0.029    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\abstract.py:124(__eq__)
     4613    0.020    0.000    0.055    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\utils.py:350(order_by_target_specificity)
59221/31316    0.020    0.000    0.153    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:463(format)
   122231    0.019    0.000    0.022    0.000 {built-in method _abc._abc_instancecheck}
16610/649    0.019    0.000    0.249    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:168(_format)
     1507    0.018    0.000    0.099    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\context.py:592(resolve_overload)
    30990    0.018    0.000    0.127    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:537(__init__)
